OLD,UPDATED
:backhand_index_pointing_down_mediumdark_skin_tone:,:backhand_index_pointing_down:
:backhand_index_pointing_down_mediumlight_skin_tone:,:backhand_index_pointing_down_medium-light_skin_tone:
:clapping_hands_mediumlight_skin_tone:,:clapping_hands_medium-light_skin_tone:
:DepEd_PH:,DepEd_PH
:flexed_biceps_mediumlight_skin_tone:,:flexed_biceps:
:folded_hands_mediumdark_skin_tone:,:folded_hands_medium-dark_skin_tone:
:folded_hands_mediumlight_skin_tone:,:folded_hands_medium-light_skin_tone:
:globe_showing_AsiaAustralia:,:globe_showing_Asia-Australia:
:globe_showing_EuropeAfrica:,:globe_showing_Europe-Africa:
:hand_with_index_finger_and_thumb_crossed_mediumlight_skin_tone:,:hand_with_index_finger_and_thumb_crossed_medium-light_skin_tone:
:hashtagELEKSYON_DISCUSSION:,hashtagELEKSYON_DISCUSSION
:hashtagFinney_Smith:,hashtagFinney_Smith
:hashtagmartial_law:,hashtagmartial_law
:hashtagTCPH_ANNOUNCEMENT:,hashtagTCPH_ANNOUNCEMENT
:heart_hands_mediumlight_skin_tone:,:heart_hands_medium-light_skin_tone:
:highheeled_shoe:,:high-heeled_shoe:
:highspeed_train:,:high-speed_train:
:index_pointing_up_mediumlight_skin_tone:,:index_pointing_up_medium-light_skin_tone:
:leftfacing_fist:,:left-facing_fist:
:loveyou_gesture:,:love-you_gesture:
:moneymouth_face:,:money-mouth_face:
:nail_polish_mediumlight_skin_tone:,:nail_polish_medium-light_skin_tone:
:OK_hand_mediumlight_skin_tone:,:OK_hand_medium-light_skin_tone:
:oncoming_fist_mediumlight_skin_tone:,:oncoming_fist_medium-light_skin_tone:
:raised_fist_mediumlight_skin_tone:,:raised_fist_medium-light_skin_tone:
:raising_hands_mediumlight_skin_tone:,:raising_hands_medium-light_skin_tone:
:rightfacing_fist:,:right-facing_fist:
:rolledup_newspaper:,:rolled-up_newspaper:
:seenoevil_monkey:,:see-no-evil_monkey:
:smiling_face_with_hearteyes:,:smiling_face_with_heart-eyes:
:speaknoevil_monkey:,:speak-no-evil_monkey:
:tearoff_calendar:,:tear-off_calendar:
:three_oclock:,:three-thirty:
:thumbs_up_mediumlight_skin_tone:,:thumbs_up_medium-light_skin_tone:
:upright_arrow:,:up-right_arrow:
:upsidedown_face:,:upside-down_face:
:victory_hand_mediumlight_skin_tone:,:victory_hand_medium-light_skin_tone:
:woman_facepalming_mediumdark_skin_tone:,:woman_facepalming_medium-dark_skin_tone:
:woman_shrugging_mediumlight_skin_tone:,:woman_shrugging_medium-light_skin_tone:
:womans_sandal:,:thong_sandal:
:writing_hand_mediumlight_skin_tone:,:writing_hand_medium-light_skin_tone:
:zippermouth_face:,:zipper-mouth_face:
crown,:crown:
eagle,:eagle:
fire,:fire:
megaphone,:megaphone:
Philippines,:Philippines:
tulip,:tulip:
:_______: ,
:________:,
__,
k1,
:united_kingdom:,:United_Kingdom:
!!,:double_exclamation_mark:
:globe_showing_asiaaustralia:,:globe_showing_Asia-Australia:
:globe_showing_europeafrica:,:globe_showing_Europe-Africa:
:ok_hand_mediumlight_skin_tone:,:OK_hand_medium-light_skin_tone:
:__:,
:united_states:,:United_States:
:united_arab_emirates:,:United_Arab_Emirates:
:ok_hand:,:OK_hand:
:man_gesturing_no:,:man_gesturing_NO:
:christmas_tree:,:Christmas_tree:
:woman_gesturing_no:,:woman_gesturing_NO:
:ok_hand_medium_skin_tone:,:OK_hand_medium_skin_tone:
:crossed_fingers_mediumlight_skin_tone:,:crossed_fingers_medium-light_skin_tone:
:backhand_index_pointing_up_mediumlight_skin_tone:,:backhand_index_pointing_up_medium-light_skin_tone:
:face_with_crossedout_eyes:,:face_with_crossed-out_eyes:
:victory_hand_mediumdark_skin_tone:,:victory_hand_medium-dark_skin_tone:
:woman_facepalming_mediumlight_skin_tone:,":woman_facepalming_medium-light_skin_tone:"
:seven_oclock:,:seven-thirty:
:loveyou_gesture_light_skin_tone: ,:love-you_gesture_light_skin_tone: