88m,bbm
accling,queer
ad,advertisement
agri,agricultural
amp ,ang puta
ampalaya,bitter
anniv,anniversary
app,application
ar,augmented reality
atty,attorney
ave,avenue
b4,before
babym,bbm
bcoz,because
bcs,because
bec,because
beh,best friend
bei,board of election inspector
bes,best friend
besh,best friend
beshie,best friend
beybiem,bbm
bgy,barangay
bishies,best friend
blengbong,bongbong
bp,bise presidente
brgy,barangay
brgy,barangay
brgys,barangays
bs,bull shit
bugok,stupid
bull,ridiculous
c/o,credit to the owner
camsur,camarines sur
chariz,joke
charot,joke
charot,joke
charots,joke
clav,commitee on local absentee voting
cmd,christian muslim democrats
coc,certificate of candidacy
cocs,certificate of candidacy
coe,commission on elections
comm ,commision
comms,commision
con,convict
cong,congressman
cos,because
coz,because
cr,comfort room
ctto,credit to the owner
cya,siya
cyst,sister
dada,daldal
daya ,cheating
deped,department of education
dept,department  
dict,department of information and communications technology
diff,difference
dir,director
dis ,this
disinfo,disinformation
dist,district
doh,department of health
dole,depatment of labor and employment
dq,disqualify
du30,duterte
dudirty,duterte
dyusko,diyos ko
eb,electoral boards
econ,economic
edi,therefore
eid,education and information department
elex,election
elex,election
eo,executive officer
es,elementary school
exec,executive
fam,family
fb,facebook
filo,filipino
filo ,filipino
filos,filpinos
flop,fail
gen,generation
gents,gentlemen
gg ,good game  
ggpw,good game played well
gov ,government
govt,government
guyz,guys
h2h,house to house
hal,halimbawa
hay ,oh my gosh
hays,sight
hbd,happy birthday
hrs,hours
hugot,emote
icymi,in case you missed it
id,identification card 
ids,identification cards
ily,i love you
inc,iglesia ni cristo
ind,independent
ipp,internet printing protocol
itcz,intertopical convergence zone
itey,ito
iykwim,if you know what i mean
jgh,just got home
journos,journalists
journos,journalist
jowa,significant other
jr,junior
kemerut,something
kenat,cannot
klk,kaloka
kontra ,against
kontradaya,anti cheating
kyusi,quezon city
lakas-cmd,lakas christian muslim democrats
lbm,bbm
leche,damn
libturds,liberals
lit,literally
lmao,laughing my ass off
lmfao,laughing my fucking ass off
lol,laugh out loud
lp,liberal party
lss,last song syndrome
lt,lieutenant
madumb,madam dumb
mam,maam
mejo,medyo
milf,moro islamic liberation front
min,minutes
misis,wife
moots,mutuals
mrrd,mayor rodrigo roa duterte
nah,no
natl,national
nboc,national board of canvassers
necc,national executive coordinating committee
nft,non fungible tokens
ngo,non government organization
nz,new zealand
octa,octa research
od,overdose
ofw,overseas filipino worker
oic,officer in charge
ok,okay
oks,okay
olats,talo
omw,on my way
ops,operation
ops,office of the president
p,president
pcfi,party list coalition foundation incorporated
pcgg,presidential commission on good government
pcvl,posted computerized voters list
peenoise,pinoy
periodtk,period
pfp,partido federal ng pilipinas
pft,sound of disagreement
ph,philippines
pic,picture
picc,philippine international convention center
pinas,pilipinas
pix,pictures
pl,partylist
plith,please
pls,please
pnp,philippine national police
ppcrv,parish pastoral council for responsible voting
ppl ,people
pr,promoter
pres,president
prof,professor
prov,provincial
prrd,president rodrigo roa duterte
psa,public service announcement
pwd,"persons with disabilities"
pwe,no
re,regarding
rep,representative
reso,resolution
rn,right now
rofl,rolling on the floor laughing
rp,robredo pangilinan
rt,retweet
ryt,right
saveeeeh,anong sinabi
sc,supreme court
se,southeast
sec,secretary
sen,senator
shunga,tanga
shungahang,tangahan
sinetch,sino
siz,sister
smh,shake my head
smni,sonshine media network international
smol,small
soce,statement of contributions and expenditures
socmed,social media
squammy,gawaing squatter
sr,senior
szn,season
tbh,to be honest
tenkyu,thank you
tf,the fuck
tho,though
toh,ito
tot,sad
totga,the one that got away
tots,thoughts
utut,utot
vad,voters assistance desk
vcm,vote counting machine
vg,vice governor
vip,very important person
vovo,bobo
vp,vice president
vpl,vice president leni
vso,vulnerable sectors office
vvm,bongbong marcos
waw,wow
weh,ganon
welp,well
wtf,what the fuck
wth,what the hell
yarn,iyan
yep,yes
yr,year